Name,Platform,Genre,Rating,Critic_Score,Critic_Count,User_Score,User_Count,NA_Sales
Final Fantasy VII,PS,Role-Playing,T,92,20,91,1282,3.01
Final Fantasy X,PS2,Role-Playing,T,92,53,86,1056,2.91
The Sims 3,PC,Simulation,T,86,75,75,886,0.99
Final Fantasy VIII,PS,Role-Playing,T,90,24,85,644,2.28
Tekken 3,PS,Fighting,T,96,15,90,367,3.27
Medal of Honor: Frontline,PS2,Shooter,T,88,29,84,135,2.93
Uncharted 3: Drake's Deception,PS3,Action,T,92,97,82,3712,2.77
Uncharted 2: Among Thieves,PS3,Action,T,96,105,87,5187,3.27
World of Warcraft,PC,Role-Playing,T,93,57,72,2182,0.08
Driver,PS,Action,T,87,22,80,78,3.11
Final Fantasy XII,PS2,Role-Playing,T,92,64,75,972,1.88
Tekken 2,PS,Fighting,T,89,8,88,102,2.26
Destiny,PS4,Shooter,T,76,95,60,5380,2.49
Monster Hunter Freedom Unite,PSP,Role-Playing,T,81,48,86,124,0.47
Batman: Arkham City,PS3,Action,T,96,42,85,2162,2.71
Uncharted 4: A Thief's End,PS4,Shooter,T,93,113,78,7064,1.85
Final Fantasy XIII,PS3,Role-Playing,T,83,83,72,2483,1.74
Final Fantasy IX,PS,Role-Playing,T,94,22,88,779,1.62
Final Fantasy X-2,PS2,Role-Playing,T,85,45,65,400,1.92
Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,T,89,63,87,245,0.65
Medal of Honor: Rising Sun,PS2,Shooter,T,68,30,75,100,1.98
Tony Hawk's Pro Skater,PS,Sports,T,92,18,91,69,3.42
Guitar Hero III: Legends of Rock,PS2,Misc,T,82,24,81,46,3.49
Link's Crossbow Training,Wii,Shooter,T,68,34,70,47,3.05
Uncharted: Drake's Fortune,PS3,Action,T,88,66,80,2306,2.31
StarCraft II: Wings of Liberty,PC,Strategy,T,93,82,81,3052,2.57
Driver 2,PS,Action,T,62,14,76,92,2.36
Batman: Arkham City,X360,Action,T,94,87,86,1472,2.99
Tony Hawk's Pro Skater 2,PS,Sports,T,98,19,76,299,3.05
The Lord of the Rings: The Two Towers,PS2,Action,T,82,32,81,78,1.94
Tomb Raider,PS,Action,T,91,13,85,147,2.29
Uncharted: The Nathan Drake Collection,PS4,Action,T,86,78,80,1264,2.07
Guitar Hero III: Legends of Rock,Wii,Misc,T,86,36,83,87,3.04
Guitar Hero III: Legends of Rock,X360,Misc,T,85,69,78,165,3.19
Halo 5: Guardians,XOne,Shooter,T,84,101,63,2438,2.78
Tony Hawk's Pro Skater 3,PS2,Sports,T,97,34,74,298,2.66
Need for Speed: Most Wanted,PS2,Racing,T,82,36,90,137,2.03
Batman: Arkham Asylum,PS3,Action,T,91,70,88,1122,2.24
Street Fighter IV,PS3,Fighting,T,94,61,72,330,2.03
World of Warcraft: The Burning Crusade,PC,Role-Playing,T,91,46,78,785,2.57
Tekken Tag Tournament,PS2,Fighting,T,85,25,84,117,1.68
Tony Hawk's Underground,PS2,Sports,T,90,38,86,121,2.29
Monster Hunter 4 Ultimate,3DS,Role-Playing,T,86,80,86,348,0.68
Tekken 5,PS2,Fighting,T,88,62,85,229,0.93
MotorStorm,PS3,Racing,T,84,9,73,220,1.53
The Sims: Unleashed,PC,Simulation,T,79,21,79,29,2.03
Tony Hawk's Pro Skater 4,PS2,Sports,T,94,27,84,128,2.13
Guitar Hero: World Tour,Wii,Misc,T,86,18,75,71,2.32
Star Wars: Battlefront,PS2,Shooter,T,82,36,86,142,1.93
The Simpsons: Road Rage,PS2,Racing,T,64,23,76,32,2.02
Star Wars: Battlefront II,PS2,Shooter,T,84,30,89,268,2.18
James Bond 007: Agent Under Fire,PS2,Shooter,T,72,27,78,48,1.9
